name,arm,solved,nodes_explored,path_length,budget,max_relator_length
ac19_10530,greedy,1,6,5,10000,48
ac19_10531,greedy,1,5,4,10000,48
ac19_10532,greedy,1,10,9,10000,48
ac19_10533,greedy,1,9,8,10000,48
ac19_10534,greedy,1,13,12,10000,48
ac19_10535,greedy,1,4,3,10000,48
ac19_10536,greedy,1,15,13,10000,48
ac19_10537,greedy,1,62,10,10000,48
ac19_10538,greedy,1,18,14,10000,48
ac19_10539,greedy,1,11,8,10000,48
ac19_1054,greedy,1,13,12,10000,48
ac19_10540,greedy,1,32,19,10000,48
ac19_10541,greedy,1,65,13,10000,48
ac19_10542,greedy,1,4083,14,10000,48
ac19_10543,greedy,1,21,13,10000,48
ac19_10544,greedy,1,7,6,10000,48
ac19_10545,greedy,1,13,12,10000,48
ac19_10546,greedy,1,5083,55,10000,48
ac19_10547,greedy,1,727,89,10000,48
ac19_10548,greedy,1,11,9,10000,48
ac19_10549,greedy,1,24,10,10000,48
ac19_1055,greedy,1,179,44,10000,48
ac19_10550,greedy,1,403,23,10000,48
ac19_10551,greedy,1,59,14,10000,48
ac19_10552,greedy,1,19,9,10000,48
ac19_10553,greedy,1,1324,95,10000,48
ac19_10554,greedy,1,6,5,10000,48
ac19_10555,greedy,1,14,12,10000,48
ac19_10556,greedy,1,13,12,10000,48
ac19_10557,greedy,1,6,5,10000,48
ac19_10558,greedy,1,325,37,10000,48
ac19_10559,greedy,1,96,25,10000,48
